AT1G02520	371	406	667	84	303	292	334	255	363
AT1G02530	17	19	3	0	0	6	0	14	0
AT1G02540	0	0	0	0	0	0	0	0	0
AT1G02550	0	0	0	0	0	0	0	0	0
AT1G02560	3909	4659	5033	1376	4284	4191	4273	4286	3418
AT1G02570	0	0	1	0	12	0	12	12	1
AT1G02575	9	7	7	2	22	0	15	0	4
AT1G02580	29	0	14	2	0	8	15	18	8
AT1G02590	0	0	0	0	0	0	0	0	0
AT1G02610	1324	1016	1370	409	1744	1883	1062	966	1191
AT1G02620	46	77	35	19	65	206	59	57	76
AT1G02630	9	31	7	6	10	14	21	8	13
AT1G02640	2099	2284	3202	848	2641	2881	2596	2083	2071
AT1G02650	47	25	20	37	26	3	12	17	45
AT1G02660	3146	2586	4215	1340	3381	5303	2698	2800	3076
AT1G02670	35	64	140	21	39	67	65	33	48
AT1G02680	519	542	627	191	520	498	439	373	493
AT1G02690	426	931	929	297	497	646	819	534	595
AT1G02700	0	0	0	0	0	0	0	0	1
AT1G02705	107	88	137	127	83	72	101	47	149
AT1G02710	0	0	0	0	0	0	0	0	0
